	TENATOPRAZOLE	DANAZOL	PANTOPRAZOLE	ARTEMISININ	OMEPRAZOLE	MELPHALAN	BISACODYL	DIACETAMATE	ENTACAPONE	TINIDAZOLE	NITRENDIPINE	PHENAZOPYRIDINE	SULFASALAZINE	RISPERIDONE	PALIPERIDONE	TACROLIMUS	CARVEDILOL	PIDOTIMOD	IDEBENONE	METHOXSALEN	LEVAMISOLE	LOVASTATIN	MEVASTATIN	PERICYAZINE	FINASTERIDE	BETAMETHASONE_VALERATE	NORGESTIMATE	CAPECITABINE	CARBETAPENTANE_CITRATE	ITRACONAZOLE	DULOXETINE	MEFLOQUINE	DICYCLOMINE	PIMOZIDE	PACLITAXEL	REPAGLINIDE	INDOMETHACIN	RAMIPRIL	EZETIMIBE	CELECOXIB	BENZBROMARONE	RANITIDINE	ZIPRASIDONE_MESYLATE	NAFRONYL_OXALATE	PHENYTOIN_SODIUM	PENBUTOLOL_SULFATE	CHLORMEZANONE	BUPROPION	AMANTADINE	METITEPINE_MALEATE	TRIMETAZIDINE_DIHYDROCHLORIDE	BICALUTAMIDE	TRANILAST	SULPIRIDE	ETHOXZOLAMIDE	METHYSERGIDE_MALEATE	RIZATRIPTAN_BENZOATE	BIPERIDEN	IMATINIB	VERAPAMIL	CAMYLOFINE_DIHYDROCHLORIDE	ACECAINIDE	LOFEXIDINE	METOPROLOL_TARTRATE	IRSOGLADINE_MALEATE	MEMANTINE	ALPRENOLOL	DIPHENYLPYRALINE	ALFUZOSIN	PAPAVERINE	OXCARBAZEPINE	METHSUXIMIDE	PAROXETINE	ESZOPICLONE	ANAGRELIDE	ETHOPROPAZINE	DIPYRIDAMOLE	DOXAZOSIN_MESYLATE	TRIHEXYPHENIDYL	METHYLPHENIDATE	FLUVOXAMINE_MALEATE	THIOTHIXENE	CYCLOBENZAPRINE	BENZTHIAZIDE	NEVIRAPINE	VINPOCETINE	ANASTROZOLE	SILDENAFIL_CITRATE	CLEMIZOLE	ORPHENADRINE_CITRATE	ENALAPRIL_MALEATE	CYCLOPHOSPHAMIDE	NOSCAPINE	ZIDOVUDINE_[AZT]	SUMATRIPTAN_SUCCINATE	TADALAFIL	GLICLAZIDE	BEZAFIBRATE	WARFARIN	NAPROXEN(+)	PROCARBAZINE	NAFTOPIDIL	OLANZAPINE	FLUCONAZOLE	CLONIDINE	NEOSTIGMINE_BROMIDE	CIMETIDINE	FEBUXOSTAT	COLCHICINE	KETOROLAC_TROMETHAMINE	METAXALONE	ZALEPLON	MIFEPRISTONE	OXYBUTYNIN_CHLORIDE	RITONAVIR	DROSPIRENONE	BUDESONIDE	GLIPIZIDE	SULFINPYRAZONE	ETODOLAC	NATEGLINIDE	VORICONAZOLE	VALSARTAN	LOSARTAN	IRBESARTAN	REBAMIPIDE	NIZATIDINE	ERGONOVINE_MALEATE	DASATINIB	PRIMAQUINE_PHOSPHATE	NICERGOLINE	DEXAMETHASONE	ERGOTAMINE_TARTRATE	NALOXONE	FENSPIRIDE	GALANTAMINE	SOTALOL	BETAMETHASONE_ACETATE	DIGOXIN	DIGITOXIN	CLOPIDOGREL_SULFATE	RILUZOLE	MEBENDAZOLE	RAMELTEON	CYPROTERONE_ACETATE	OXAPROZIN	BENAZEPRIL	GRISEOFULVIN	TRANDOLAPRIL	QUINAPRIL	CETIRIZINE	CARISOPRODOL	TOLAZAMIDE	PRANOPROFEN	FAMPROFAZONE	TELMISARTAN	CLEMASTINE_FUMARATE	LOPERAMIDE	MEGESTROL_ACETATE	TRIMEBUTINE_MALEATE	FENOFIBRATE	FLUPHENAZINE	DILTIAZEM	LEVONORGESTREL	DEFLAZACORT	DIFLORASONE_DIACETATE	LINAGLIPTIN	OLMESARTAN_MEDOXOMIL	FLUOXETINE	MYCOPHENOLATE_MOFETIL	BROMOCRIPTINE_MESYLATE	RACECADOTRIL	ROXATIDINE_ACETATE	FAMCICLOVIR	VILAZODONE	NORETHINDRONE_ACETATE
BacteroidesCoprophilusDSM18228	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	1	1	1
BlautiaHanseniiDSM20583	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
ClostridiumSp_	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
EubacteriumBiformeDSM3989	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	1
ClostridiumSporogenesATCC15579	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1
ClostridiumDifficile120	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0
BifidobacteriumBreveDSM20213	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0
EnterococcusFaecalisV583	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0
ClostridiumScindensATCC35704	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
CollinsellaIntestinalisDSM13280	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
